id,yards,par,stroke_index,hole_number,course_id
1,448,4,7,1,1
2,185,3,17,2,1
3,349,4,11,3,1
4,569,5,3,4,1
5,367,4,9,5,1
6,565,5,5,6,1
7,212,3,13,7,1
8,397,4,1,8,1
9,383,4,15,9,1
10,487,4,8,10,1
11,144,3,16,11,1
12,343,4,6,12,1
13,646,5,2,13,1
14,375,4,10,14,1
15,363,4,14,15,1
16,136,3,18,16,1
17,407,4,4,17,1
18,509,5,4,18,1
19,424,4,7,1,2
20,161,3,17,2,2
21,339,4,11,3,2
22,523,5,3,4,2
23,338,4,9,5,2
24,535,5,5,6,2
25,191,3,13,7,2
26,366,4,1,8,2
27,355,4,15,9,2
28,474,4,8,10,2
29,126,3,16,11,2
30,327,4,6,12,2
31,570,5,2,13,2
32,358,4,10,14,2
33,331,4,14,15,2
34,122,3,18,16,2
35,386,4,4,17,2
36,474,5,12,18,2
37,561,5,10,1,3
38,353,4,7,2,3
39,162,3,5,3,3
40,408,4,3,4,3
41,517,5,17,5,3
42,180,3,9,6,3
43,395,4,5,7,3
44,406,4,1,8,3
45,434,4,13,9,3
46,427,4,6,10,3
47,547,5,14,11,3
48,386,4,8,12,3
49,161,3,18,13,3
50,417,4,2,14,3
51,422,4,4,15,3
52,530,5,12,16,3
53,165,3,16,17,3
54,389,4,10,18,3
55,544,5,11,1,4
56,329,4,7,2,4
57,152,3,15,3,4
58,392,4,3,4,4
59,499,5,17,5,4
60,165,3,9,6,4
61,378,4,5,7,4
62,361,4,1,8,4
63,417,4,13,9,4
64,411,4,6,10,4
65,516,5,14,11,4
66,366,4,8,12,4
67,144,3,18,13,4
68,376,4,2,14,4
69,394,4,4,15,4
70,517,5,12,16,4
71,164,3,16,17,4
72,370,4,10,18,4
73,293,4,17,1,5
74,398,4,1,2,5
75,196,3,7,3,5
76,168,3,15,4,5
77,345,4,9,5,5
78,333,4,11,6,5
79,409,4,3,7,5
80,309,4,13,8,5
81,393,4,5,9,5
82,335,4,10,10,5
83,317,4,14,11,5
84,175,3,12,12,5
85,485,5,6,13,5
86,144,3,18,14,5
87,517,5,2,15,5
88,440,4,4,16,5
89,169,3,16,17,5
90,446,4,8,18,5
91,263,4,17,1,6
92,370,4,1,2,6
93,196,3,7,3,6
94,151,3,15,4,6
95,302,4,9,5,6
96,316,4,11,6,6
97,400,4,3,7,6
98,296,4,13,8,6
99,367,4,5,9,6
100,326,4,10,10,6
101,289,4,14,11,6
102,175,3,12,12,6
103,478,5,6,13,6
104,140,3,18,14,6
105,486,5,2,15,6
106,431,4,4,16,6
107,124,3,16,17,6
108,436,4,8,18,6

